Game Name, Month, Day, Year, Num1, Num2, Num3, Num4, Num5, Powerball, Power Play
Powerball,3,10,2012,5,41,20,14,17,5
Powerball,3,14,2012,1,8,59,46,41,24
Powerball,3,17,2012,11,55,58,14,49,30
Powerball,3,21,2012,32,43,53,55,56,6
Powerball,3,24,2012,15,37,35,1,47,8
Powerball,3,28,2012,50,58,16,29,11,33
Powerball,3,31,2012,14,5,58,54,36,27
Powerball,4,4,2012,33,24,49,45,1,6
Powerball,4,7,2012,13,30,5,20,17,18
Powerball,4,11,2012,44,42,16,47,23,2
Powerball,4,14,2012,15,16,19,14,24,2
Powerball,4,18,2012,22,39,49,46,20,29
Powerball,4,21,2012,8,42,51,20,6,16
Powerball,4,25,2012,29,43,25,4,34,29
Powerball,4,28,2012,57,40,58,31,39,33
Powerball,5,2,2012,7,33,50,38,8,29
Powerball,5,5,2012,12,59,44,20,9,23
Powerball,5,9,2012,56,7,1,11,55,1
Powerball,5,12,2012,35,24,58,53,10,22
Powerball,5,16,2012,21,43,28,3,7,2
Powerball,5,19,2012,46,13,8,51,35,30
Powerball,5,23,2012,59,7,53,26,4,32
Powerball,5,26,2012,49,59,13,41,14,14
Powerball,5,30,2012,10,56,9,24,52,14
Powerball,6,2,2012,17,45,10,29,9,33
Powerball,6,6,2012,59,48,19,33,30,27
Powerball,6,9,2012,56,45,57,22,18,27
Powerball,6,13,2012,14,57,33,10,7,18
Powerball,6,16,2012,14,16,27,15,8,26
Powerball,6,20,2012,17,11,29,56,57,14
Powerball,6,23,2012,44,1,53,3,41,30
Powerball,6,27,2012,58,34,6,46,40,6
Powerball,6,30,2012,20,7,15,41,44,22
Powerball,7,4,2012,35,19,14,39,56,33
Powerball,7,7,2012,5,3,29,59,39,29
Powerball,7,11,2012,5,36,49,55,22,23
Powerball,7,14,2012,4,46,16,37,32,13
Powerball,7,18,2012,5,2,57,23,20,3
Powerball,7,21,2012,9,54,38,56,31,20
Powerball,7,25,2012,14,3,46,38,35,16
Powerball,7,28,2012,6,50,5,36,13,13
Powerball,8,1,2012,58,3,56,48,16,4
Powerball,8,4,2012,55,30,53,48,19,18
Powerball,8,8,2012,7,15,3,11,28,12
Powerball,8,11,2012,51,13,46,39,4,1
Powerball,8,15,2012,56,27,46,6,51,21
Powerball,8,18,2012,55,41,26,14,59,1
Powerball,8,22,2012,47,31,22,29,55,19
Powerball,8,25,2012,7,20,6,1,49,23
Powerball,8,29,2012,49,54,28,25,56,28
Powerball,9,1,2012,8,44,21,11,49,22
Powerball,9,5,2012,42,4,26,51,19,29
Powerball,9,8,2012,34,44,20,48,6,29
Powerball,9,12,2012,48,56,24,36,33,6
Powerball,9,15,2012,43,26,3,20,48,1
Powerball,9,19,2012,50,1,8,39,5,23
Powerball,9,22,2012,40,42,18,16,2,33
Powerball,9,26,2012,41,26,42,13,39,10
Powerball,9,29,2012,57,14,29,18,28,8
Powerball,10,3,2012,55,23,17,59,36,10
Powerball,10,6,2012,36,59,26,15,34,35
Powerball,10,10,2012,35,18,43,29,26,28
Powerball,10,13,2012,5,2,26,25,49,18
Powerball,10,17,2012,42,23,10,7,1,35
Powerball,10,20,2012,4,28,31,44,21,10
Powerball,10,24,2012,18,50,23,3,21,4
Powerball,10,27,2012,34,56,36,32,22,33
Powerball,10,31,2012,45,31,1,48,27,5
Powerball,11,3,2012,54,4,7,9,30,25
Powerball,11,7,2012,32,45,34,52,58,20
Powerball,11,10,2012,55,32,50,54,42,32
Powerball,11,14,2012,44,10,58,8,30,13
Powerball,11,17,2012,15,59,27,58,3,20
Powerball,11,21,2012,24,30,8,18,39,26
Powerball,11,24,2012,22,32,37,44,50,34
Powerball,11,28,2012,5,23,16,22,29,6
Powerball,12,1,2012,46,10,3,19,36,3
Powerball,12,5,2012,27,19,38,13,17,12
Powerball,12,8,2012,23,40,53,26,7,21
Powerball,12,12,2012,36,25,44,8,10,28
Powerball,12,15,2012,40,23,44,55,15,14
Powerball,12,19,2012,23,20,5,30,8,3
Powerball,12,22,2012,18,44,35,39,1,11
Powerball,12,26,2012,54,43,13,11,23,4
Powerball,12,29,2012,55,52,46,50,36,14
Powerball,1,2,2013,20,18,53,28,35,20
Powerball,1,5,2013,30,49,54,26,51,25
Powerball,1,9,2013,11,20,13,27,59,26
Powerball,1,12,2013,47,21,23,14,10,7
Powerball,1,16,2013,51,21,32,28,9,35
Powerball,1,19,2013,29,8,28,34,38,35
Powerball,1,23,2013,24,43,11,12,45,9
Powerball,1,26,2013,22,49,41,26,3,18
Powerball,1,30,2013,47,16,14,32,52,16
Powerball,2,2,2013,41,33,16,40,11,34
Powerball,2,6,2013,36,38,5,27,41,12
Powerball,2,9,2013,58,36,16,6,5,3
Powerball,2,13,2013,12,43,27,25,23,29
Powerball,2,16,2013,58,16,15,46,50,29
Powerball,2,20,2013,25,3,32,17,19,17
Powerball,2,23,2013,41,31,39,2,5,29
Powerball,2,27,2013,48,20,14,34,3,21
Powerball,3,2,2013,56,13,8,41,3,16
Powerball,3,6,2013,45,10,6,23,41,1
Powerball,3,9,2013,46,52,37,10,40,12
Powerball,3,13,2013,38,9,32,28,5,29
Powerball,3,16,2013,44,53,7,21,3,16
Powerball,3,20,2013,43,17,14,13,54,15
Powerball,3,23,2013,29,53,52,17,31,31
Powerball,3,27,2013,43,48,7,37,52,16
Powerball,3,30,2013,23,46,11,26,55,27
Powerball,4,3,2013,35,8,12,1,6,3
Powerball,4,6,2013,39,29,4,8,7,24
Powerball,4,10,2013,40,1,52,36,53,20
Powerball,4,13,2013,10,57,31,12,56,33
Powerball,4,17,2013,58,18,48,13,36,28
Powerball,4,20,2013,6,39,8,30,48,20
Powerball,4,24,2013,9,59,31,56,19,2
Powerball,4,27,2013,55,54,48,23,3,5
Powerball,5,1,2013,31,22,55,26,54,18
Powerball,5,4,2013,26,36,40,7,12,17
Powerball,5,8,2013,21,57,26,22,30,27
Powerball,5,11,2013,6,23,19,43,13,16
Powerball,5,15,2013,2,34,11,41,26,32
Powerball,5,18,2013,22,10,13,14,52,11
Powerball,5,22,2013,31,35,41,9,57,26
Powerball,5,25,2013,27,21,19,6,2,25
Powerball,5,29,2013,49,14,9,17,57,2
Powerball,6,1,2013,33,53,59,22,28,14
Powerball,6,5,2013,4,36,26,33,55,32
Powerball,6,8,2013,2,26,11,32,22,19
Powerball,6,12,2013,22,16,42,23,55,32
Powerball,6,15,2013,48,55,28,40,36,1
Powerball,6,19,2013,57,47,46,52,7,17
Powerball,6,22,2013,33,57,19,23,13,28
Powerball,6,26,2013,1,46,39,33,18,33
Powerball,6,29,2013,28,8,56,53,30,16
Powerball,7,3,2013,40,6,51,29,3,4
Powerball,7,6,2013,52,2,36,35,13,11
Powerball,7,10,2013,55,45,31,30,59,27
Powerball,7,13,2013,8,37,2,35,22,6
Powerball,7,17,2013,22,1,42,38,34,17
Powerball,7,20,2013,14,27,58,25,38,6
Powerball,7,24,2013,44,29,54,40,9,7
Powerball,7,27,2013,58,53,40,23,9,6
Powerball,7,31,2013,8,24,59,39,49,5
Powerball,8,3,2013,24,36,21,45,42,15
Powerball,8,7,2013,58,5,25,59,30,32
Powerball,8,10,2013,37,58,14,4,12,13
Powerball,8,14,2013,17,43,11,4,51,20
Powerball,8,17,2013,18,54,56,21,46,23
